Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserValidation,,,2020-02-14 10:23:11,2020-02-14 10:23:16,5.557s,PASSED
,,,,,,
Test Cases/User/Validate user Details,,,2020-02-14 10:23:11,2020-02-14 10:23:16,5.212s,PASSED
"response = sendRequest(findTestObject(""User/Getuserdetails""))",,,2020-02-14 10:23:11,2020-02-14 10:23:16,4.621s,PASSED
"verifyResponseStatusCode(response, 200)",,,2020-02-14 10:23:16,2020-02-14 10:23:16,0.018s,PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,2020-02-14 10:23:16,2020-02-14 10:23:16,0.095s,PASSED
