Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-11-28 11:29:44,2018-11-28 11:29:47,3.194s,FAILED
,,,,,,
Test Cases/TC01_REST_Verify Email from list of Comments,,Verify comment's email from,2018-11-28 11:29:44,2018-11-28 11:29:46,1.368s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(REST_CommentDetails)),,Send a SOAP request and returns its response,2018-11-28 11:29:45,2018-11-28 11:29:46,0.917s,PASSED
verifyElementPropertyValue,,Verify if comment's email after sending request is correct or not,2018-11-28 11:29:46,2018-11-28 11:29:46,0.102s,PASSED
,,,,,,
Test Cases/TC02_SOAP_Verify Converted Weight,,Verify if converted weight after sending request is correct or not,2018-11-28 11:29:46,2018-11-28 11:29:47,1.324s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP_ConvertWeight)),,Send a SOAP request and returns its response,2018-11-28 11:29:46,2018-11-28 11:29:47,1.058s,FAILED
